after_treatment,text
老妈 买 好 一天到晚 抱 看,给老妈买的，很好用，她一天到晚抱着看
都 还好 没有 外壳 没有 耳机 需要 进行 购买,都还好，只是没有外壳，没有耳机，需要自己进行购买
屏幕 大 小 看起来 精美 平板 电脑,屏幕大，边小，看起来很精美，当平板电脑用了
星期 满意 正品 系统 流畅 分辩率 高 五星 好评,用了一个星期，很满意！是正品系统流畅分辩率高，给五星好评！！???
屏幕 细腻 做工 良心 待机时间 强劲 反正 满足 平板 电脑 所有 要求,屏幕细腻，做工良心，待机时间很强劲，反正满足我对平板电脑的所有要求。
好用 快 非常 不错,好用。快！非常不错！
已经 买 第二个 好用 这回 便宜 大,已经买第二个了，还是那么好用！这回便宜大了，哈哈
支持 国产品牌 中国 已 不再 过去 中国 商品 满意 值得 拥有,支持国产品牌，中国已不再是过去的中国，商品很满意，你值得拥有！
帮闺蜜 买 闺蜜 喜欢 价格 便宜,帮闺蜜买的，闺蜜很喜欢。而且价格很便宜！
还行 一段时间 再 评论,还行吧，用一段时间再评论
已经 玩上 挺不错,已经玩上了，挺不错
帮 朋友 买 朋友 喜欢 不错 平板 实惠 支持 京东,帮朋友买的 朋友很喜欢 很不错的平板 实惠 支持京东
不错 不错 好,不错 不错，，，很好的。
性价比 高 屏幕 够 大 看片 一流,性价比很高，屏幕够大，看片一流！
麒麟 处理器 真 不是 盖 看 评价 很多 人 说 麒麟 处理 不行 真的 不行 M3 青春 版 相比 M3 开 很多 应用 游戏 后 基本 没什么 严重 卡顿 现象 不怎么 发热,麒麟处理器真不是盖的，看评价很多人说麒麟处理不行，真的不行么，跟M3青春版相比，M3在开了很多应用及游戏后，基本没什么严重卡顿现象，且也不怎么发热，
发货 速度快 体验 还 不错,发货速度快，体验还不错
试用 三天 以后 对此 款平脑 评价 确是 一次 非常 满意 物超所值 京东 网购 速度快 不亚 扵 现用 华为 mate8 手机 相片 编辑 功能 mate8 更加 丰富 外形尺寸 合适 手机 6 寸 平板 7 寸 8 寸 太小 10.1 寸 太大 这则 9 寸 多一点 正好 令 很多 人 不满 那份 快速 入门 太 简单 也己 华为 官 网下 戴 一本 荣耀 畅玩 平板 2 用户 指南 解决,试用了三天以后对此款平脑评价。确是的一次非常满意，物超所值的京东网购。速度快，不亚扵我现用的华为mate8手机，其对相片的编辑功能比mate8更加丰富。外形尺寸合适，我手机己是6寸，平板如7寸8寸太小了，10.1寸的太大了，所以这则9寸多一点正好。还有令很多人不满的那份“快速入门”太简单，也己从华为官网下戴了一本“荣耀畅玩平板2用户指南”解决。
不错 挺 好 价格 有点 小贵,不错挺好，就是价格有点小贵
买来 老人家 屏幕 清晰 大小 挺 好 华为 系统 值得 信赖,买来给老人家用的，屏幕很清晰，大小也挺好，华为的系统值得信赖。
一天 才 评价 喜欢 好 流畅 非常 好,用了一天才评价，很喜欢，很好用，很流畅，非常好。
网上 买 套套 平板 都 好 看惯 苹果 分辨率 突然 看 有点 不 习惯 值得 购买,自己在网上买了一个套套。平板什么都好，就是看惯了苹果的分辨率，突然看这个有点不习惯，值得购买。
不错 价格 实惠 618 活动 给力,不错，价格实惠，618活动给力呀！
性价比 高 毕竟 华为 国内 名牌,性价比高，毕竟华为也是国内名牌。
好顶 赞好 顶赞,好顶赞好顶赞
使用 几天 感觉 还好 携带 不怎么 方便,使用了几天，感觉还好！就是携带不怎么方便！
双十 一买 价格 优惠 看着 够 大,双十一买的，价格优惠，看着够大！
公司 之前 买来 做 业务 价格 亲民 够 大屏 现在 客户 都 要求 帮买 实惠,公司之前买来做业务的，价格亲民，够大屏，现在客户都要求帮买，实惠
颜色 大气 高端 速度 很快 清晰度 好 高 物流 服务 好 绝对 物有所值,颜色大气高端，速度很快，清晰度好高，物流服务很好，绝对物有所值。
咋天 订单 今天 到货 速度快 下次 多多 订货,咋天订单今天就到货，速度快，下次多多订货。
帮 朋友 购买 朋友 说 运行 速度快 屏幕 大 喜欢,帮朋友购买的，朋友说运行速度快，屏幕大，喜欢
开机 慢 些 屏幕 大 看着 清楚 声音 正 总体 不赖,开机慢了些。屏幕大看着清楚，声音正。总体不赖
错过 双十 双 十二 补 回来 不够 划算,错过了双十一，双十二补回来，但不够划算，。
高 清新 超级 棒 运行 平稳 相信 华为 实力 加油,高清新 超级棒 运行平稳 相信华为的实力 加油
起来 还 不错,用起来还不错
电池 不 耐用 后 摄像头 还装 斜,电池不耐用，而且后摄像头还装斜了
产品 送货 很快 打开 产品 之后 看到 产品包装 精致 产品 做工 精致 第三 产品 开机 工作 后 各项 功能 工作 正常 第四 情况 使用 后 才 知道,首先，这个产品送货很快。其次，打开这个产品之后可以看到产品包装很精致，产品做工也很精致。第三，产品开机工作后，各项功能工作正常。第四，其他情况使用后才知道。
试用 几天 想象 中 好 正常 上网 看 视频 电影 没有 问题,试用了几天，比我想象中的要好，正常上网看视频电影没有问题！
华为 质量 确实 好 平板 系统 好用 质量 非常 好,华为的质量确实好，平板系统好用，质量非常好！
不错 没有 耳机 失望 想 问问 耳机 都 不配 支持 京东 网购 都 选择 京东 平时 买 东西 都 不 太 喜欢 评论 这次 真 伤心 写 多字 差点 忘 还会 写 字 最后 再 啰嗦 一句 耳机 没有 忘,总的来说还是很不错的。就是没有耳机很失望。我就想问问耳机都不配吗？我一直很支持京东的，只要网购我都选择京东、平时买东西我都不太喜欢评论。这次是真伤心了。写了这么多字。我差点忘了自己还会写这么字。最后再啰嗦一句耳机是没有还是忘了
还 不错 大爱,还不错，大爱
昨天 下单 今天 收到 货 京东 物流 赞 感觉 不错 挺 喜欢 支持 华为 支持 国产,昨天下单，今天收到货了！京东物流就是赞?，感觉很不错，挺喜欢的，支持华为，支持国产！！
华为 值得 信赖 物超所值 儿子 买 儿子 高兴 坏,华为值得信赖物超所值给儿子买的儿子高兴坏了
相信 京东 相信 华为 下次 继续,可以的，相信京东，相信华为，下次继续
帮别人 买 没有 玩 不知 手感,帮别人买的，我没有玩到，不知手感如何！！！
没有 虚拟 按键 起来 流畅 没有 杂七杂八 软件 送 屏幕 贴膜 质量 不好 毕竟 送 买 蓝光 还 没收 总体 感觉 不错 包装盒 设计 挺 精致,没有虚拟按键，用起来很流畅，没有杂七杂八的软件送的屏幕贴膜质量不好，毕竟送的吗！又买了一个蓝光的还没收到，总体感觉不错，包装盒设计挺精致的
机子 不错 tf 卡 sim 卡 只能 二选,机子不错 就是 tf卡和sim卡 只能二选一的用…
几天 满意,虽然等了几天还是很满意的！
价廉物美 支持 国货 支持 华为 伟大 公司 希望 越做越 好,价廉物美啊！支持国货！支持华为！伟大的公司，希望越做越好。
平板 挺不错 吐 槽 包装 纸箱 没有 平板 大 还 硬 塞进去,平板挺不错的，要吐槽的是包装，纸箱没有平板大还硬塞进去！
性价比 高 配送 快 支持 国货,性价比高，配送快，支持国货！
做工 精细 2K 宽屏 表现 细腻,做工精细，2K宽屏表现细腻。
平板 好 称心 保护套 太难 买 不知 京东 商城,平板很好用！很称心，就是保护套太难买了！不知京东商城有吗？
m2 m3 华为 支持 华为 m 3 新款 非常 好,从m2到m3一直在用华为支持华为m 3新款非常好。
不错 拿到 感觉,不错。拿到用了感觉可以
手机 看着 质感 不错 运行 速度快 价格比 实体店 便宜,手机看着质感不错，运行速度快，价格比实体店便宜
屏幕 够 大 清楚 日常 上网 看 视频 足够 电池 续航 能力 强 几天 不用 充电 价格 有点 坑人 刚买 完 搞 特价,屏幕够大，也很清楚，日常上网看视频足够了。电池续航能力强，可以几天不用充电。就是价格有点坑人，刚买完就搞特价
东西 还好 感觉 有点 华为 p ９,东西还好吧感觉有点不如那个华为p９
主要 来看 PDF 偶尔 看看 电影 个人 赶脚 两 方面 ipad 方便 点,主要用来看PDF，偶尔看看电影，个人赶脚这两方面还是比ipad方便点～
大屏 清晰 头 一天 晚上 十点 买 快递 第二天 早就 送来 不错,可以，大屏，清晰，头一天晚上十点多买的，快递第二天一早就送来了，不错
老爸 买 手机 看 新闻 视屏 太累 生日礼物 1733 到手 价买 现在 1688 还 不能 申请 价格 保护 觉得 有点 亏 下次 别买 限购 赠品 东西 京东 不让 退 差价,给老爸买的 手机看新闻视屏太累了 作为他的生日礼物 不过1733到手价买的 现在只有1688还不能申请价格保护 觉得有点亏 下次还是别买什么限购或者赠品的东西 京东不让退差价的
实际 描述 相符 值得 拥有,和实际描述相符，值得拥有
家里 老人 买 老人家 太 喜欢 当时 就让 换 卡用 上 去 都,给家里老人买的，老人家太喜欢了，当时就让我给换了卡用上了，到那去都拿着，哈哈?
开机 感觉 不错 前面 一台 10.1 寸 感觉 太 大 这台 手感 不错 画面,开机感觉不错，前面一台10.1寸的，感觉太大，这台手感不错，画面也好
目前 满意,目前很满意。
全新 封装 半天 确实 不错 外观 手感 苹果 差 尺寸 刚 合适 运行 程序 流畅 双 喇叭 声音 很爽,全新封装，用了半天，确实不错，外观手感不比苹果差，尺寸刚合适，运行各种程序很流畅，双喇叭声音很爽
上 手 感觉 不错 屏幕 清晰 盒子 配 原装 软膜 开机 提示 系统 更新 emui5.0 还 算 比较 流畅 希望 5.0 发挥 智能 效果 保持 流畅,上手感觉不错，屏幕清晰，盒子配了原装软膜，开机就提示系统更新到emui5.0，还算比较流畅，希望5.0能发挥它的智能效果保持流畅
没膜 建议 商家 送 确实 拖尾 比较 明显 应该 优化 方案 不够 好 其实 苹果 主要 优化 做 很棒 没什么 说 看 喜好,没膜，建议商家送一个，还有就是确实拖尾比较明显，应该是优化方案不够好，其实苹果主要就是优化做得很棒，其他就没什么说的了，看自己喜好。
这么久 来说 一下 真实 感受 考研 想买个 平板 出去 自习 时看 视频 方便 学生 党 本来 想 买 iPad 钱 不够 分期 买 M3 刚 拿到 手 着实 漂亮 喜欢 音响 不错 电池 续航 时间 不错 总体 还 行,用了这么久了我来说一下真实的感受吧，因为考研想买个平板出去自习时看视频方便，学生党本来想买iPad钱不够，于是分期买了M3，刚拿到手着实漂亮，很喜欢，音响很不错，电池续航时间也不错，总体还行。
东西 好 大屏 速度 快 打电话 能装 内存卡 适合 娱乐 满意,东西很好，大屏、速度也快，能打电话、能装内存卡，适合娱乐，很满意
好 很快 力 京东 不 五星 快递 小哥 辛苦 谢谢你们 服务 还会,很好，很快，很给力，京东就是不一样，给五星，还有快递小哥辛苦啦，谢谢你们的服务，还会在来。
不错 华为 平板 小米 强多 不 知道 屏幕 分辨率 貌似 没有 高,还是不错的华为平板，比小米强多了，只是不知道为什么这个屏幕的分辨率貌似并没有那么高
非常 好 性价比 高 100 分 爱 华为 东西 电子产品 全部 都 华为,非常好，性价比高，100分，就爱华为的东西，电子产品全部都华为。
看着 还 行 不 知道 以后 会 好 以后 还会 再 买,看着还行，不知道以后会怎么样，如果用的好以后还会再来买
目前 感觉 挺 好 速度 挺快 清晰 看 视频 流畅 希望 好 下去,目前感觉挺好，速度挺快的也很清晰，看视频很流畅。希望一直好下去
买来 降价 买 老人 听戏 老人 满意 内存 小 价钱,买来降价了。。。。买给老人听戏用的。老人很满意。就是内存小。价钱在这了。
活动 买 孩子 喜欢 京东 送货 快 服务态度 好,有活动买的，孩子喜欢，京东送货快，服务态度好
清风 丶 丿 徐 第一张 卡 交通 青年 卡 看 空间 点 进来 申请 填完 资料 没想到 不到 五分钟 征信 电话 打来 够 速度 微笑,@清风丶丿徐来：第一张卡交通青年卡，那是看空间点进来的，申请填完资料没想到不到五分钟征信电话就打来了，也是够速度[微笑]
挺 好 东西 值得 购买 商品,挺好的东西值得购买的商品
不错 屏幕 大 看 小说 不错,不错哈，屏幕大，看小说不错！
像素 低 真的 挺渣 没 问题 看 直播 有点 发热 问题 不大,像素低，真的挺渣的。其他没啥问题！！！看直播有点发热！问题不大
买 回家 起来 很棒 买 父母 起来 开心,买回家用起来很棒。买给父母的，用起来很开心。
不错 不错 好,不错不错，很好
不错 屏幕 细腻 画面 反应 都 很快 有点像 大 手机 不错 好,很不错，屏幕很细腻，画面反应也都很快，就是有点像个大手机，不错很好
东西 好 京东 信赖 希望 京东 越来越 好 京东 产品 越来越 好,东西很好，对京东一直很信赖，希望京东越来越好，京东的产品也越来越好～
华为 中国 人 品牌 手机 华为 荣耀 7 平板 电脑 肯定 华为 本来 想 买 苹果 想想 支持 国产 看着 挺 漂亮 今天 再来 追评,华为，中国人自己的品牌，手机用的是华为荣耀7，平板电脑肯定也用华为的了，本来是想买苹果的，但是想想还是支持国产，看着挺漂亮的，用今天再来追评
儿子 买 喜欢 还行,给儿子买的，他很喜欢。还行吧
帮 朋友 买 收到 货 感觉 挺 好 不 知道 上 效果,帮朋友买，收到货感觉挺好，不知道用上什么效果。
今天上午 收到 宝贝 迫不及待 拆开 来看 看 图片 屏幕 够 大 质感 一会儿 总体 还 不错 外壳 不错 看上去 挺 高大 上 下次 再 光顾,今天上午收到的宝贝，迫不及待地拆开来看，看图片，屏幕够大，有质感呢，用了一会儿了总体还不错的，外壳也不错的，看上去挺高大上的，下次再来光顾。
第一次 买 华为 上 手 感觉 好大 很爽 看 视频 通话 都 好 没有 发现 其他人 说 声音 小 卡机 问题,第一次买华为，上手感觉好大，用着很爽，看视频，通话都很好。没有发现其他人说的声音小卡机等问题。
质量 好 已经 第二次 购买,质量很好?我已经是第二次购买了。
不错 发货 快 质量 好,不错，发货快。质量好
手机 不错 已经 买 好几部 推荐 同事 买 性价比 高 以后 会 继续 支持 国产 华为,手机不错，已经买了好几部了，也推荐同事买了！性价比很高！以后会继续支持国产华为
不错 不错 非常 不错 不错 不错 不错,不错不错，非常不错，不错，不错不错
不错 手机 华为 已经 3 年 非常 不错,很不错的手机，用华为已经3年了，非常不错
原装 正品 机器 查询 16 年 12 月 12 号 机器 满意 试玩 一下 再 做 评论,原装正品，机器查询了，是16年12月12号的机器，很满意，试玩一下再做评论
不错 平板 价格 不错,不错的平板，价格也是不错的。
还 不错 一段时间 感觉 耗电 快,还不错，用了一段时间，感觉就是耗电快
不错 性价比 高 反应 灵敏 音质 好 赞,不错，性价比高，反应灵敏，音质好，赞
平板 没什么 使用 体验 主要 华为 手机 不错 买 华为 平板 黑边 不 看 评论 还 不 知道 父母 不 讲究 功能强大 实用 好 华为 依旧 感人 买 都 没 赠品,对平板没什么使用体验，主要是华为手机用的不错所以买了华为的平板，黑边什么的不看评论还不知道，给父母用的也不讲究功能强大多少，实用就好，华为依旧感人，买啥都没赠品?
不错 挺 好 买 第二次,不错，挺好的，买第二次了
好 挺 好,很好用，挺好的
特别 好用 经济 实惠 玩游戏 看 电影 没 问题 关键 便宜,特别好用，经济实惠，玩游戏看电影的话用这个没问题，关键是便宜
宝贝 质量 好 京东 物流 非常 给力 快 两个 月 没有 问题 不错 一次 购物,宝贝质量很好，京东物流非常给力，用了快两个月了，没有什么问题，不错的一次购物!
孩子 买 没 玩,给孩子买的。 没怎么玩
挺 好 至今 还 没有 遇到 问题 想来 会 一段时间 想 买 朋友 进行 购买,挺好的，至今还没有遇到过什么问题，想来会一直用一段时间，想买的朋友可以进行购买。
感觉 还 iPad mini4 华为 m3 纠结 久 想 支持 一次 国产 家里 本来 有大 ipad 想买个 小屏 方便 带 学校 旅途 平板 想象 中好 很多 屏幕 颜色 有点 太过 艳丽 不是 喜欢 喜欢 苹果 柔和 一点 色调 总体 来说 还 不错,感觉还可以，在iPad mini4和华为m3纠结了很久。。还是想支持一次国产。。家里本来有大ipad了，想买个小屏方便带学校和旅途。。这个平板比我想象中好很多，就是屏幕颜色有点太过艳丽，不是很喜欢，还是喜欢苹果柔和一点的色调。。总体来说还不错
巨屏 手机 战斗机 不错 值得 入手 涨价,巨屏手机的战斗机，不错，值得入手，不过又涨价了。
看电视 流畅 小孩 喜欢 电池 充满 电 看 5.6 小时,看电视很流畅，小孩很喜欢，电池充满电，能看5.6个小时。
几天 才 评价 还 最 重要 快递 小哥 十二个 赞 服务态度 好,用了几天才来评价，还可以，最重要的是要给快递小哥十二个赞，服务态度很好……
京东 快递 真心 迅速 快递 不是 档次 第二天,京东的快递真心迅速，和别的快递不是一个档次的，第二天就能到
都 买 华为 产品 款 平板 满意 超级 赞赞赞,一直都是买华为的产品，这款平板很满意，超级赞赞赞
好 妈妈 起来 方便,很好，妈妈用起来很方便
好 这是 第二台 买来 送人,很好，这是第二台，买来送人。
物流 飞快 小孩 喜欢,物流飞快，小孩也喜欢。
东西 不错 包装 好 送人 都 不错,东西不错，包装也很好。送人的，都不错
还 不错 满意 还 没用 上 看看,还可以，不错，满意，还没用那，用上在看看吧
很大 气 好 第一部 华为 手机 mate1 屏碎 第二部 x1 屏醉 中 病毒 第三部 荣耀 6 屏裂 第四部 x2 猜 结局,很大气，很好用，我第一部华为手机为mate1'屏碎，第二部x1'屏醉中病毒，第三部荣耀6，屏裂，第四部x2，你能猜到结局吗?
好 颜色 清晰 运行 流畅 不卡 国产 骄傲 送 乐视 会员 够 看个 VIP 电影 还 收券,很好，颜色清晰，运行流畅，不卡，国产的骄傲，送的乐视会员也是够了，看个VIP电影还另外收券
刚 升级 两次 只 升级 一次 感谢 客服 宝珠 专业 耐心 回答 谢谢 三个 赠品,刚开始，要我升级两次，我只升级了一次。感谢客服宝珠专业，耐心的回答。谢谢给的三个赠品。
还 不错 屏幕 够 大 觉得 比较 适合 看 电影 电视剧 华为 质量 真的 不错 全家人 都 华为,还不错，屏幕够大，我觉得比较适合看电影电视剧。华为质量真的很不错。全家人都用的华为。
东西 不错 长辈 买,东西不错，给长辈买的
黑边 挺 大 接受 速度 不错 重点 比起 平板 信号 比较 好 总得来说 不错,黑边是挺大的，但我可以接受，速度还是不错的，重点比起其他平板，它信号比较好，总得来说还是不错的
东西 还 不错 包装 实在 无语 桄榔 桄榔 响,东西还不错，就是这包装实在无语，桄榔桄榔响
还 不错 遗憾 没 价买,还不错，不过遗憾没在**价买到它。
京东 速度快 东西 非常 好,京东速度快，东西也非常好
帮 朋友 买 支持 国货,帮朋友买的，支持国货！
帮 朋友 买 非常 满意 支持 华为,帮朋友买的非常满意！支持华为！
还 电池 不怎么 耐用 总体 还行,还可以，就是电池不怎么耐用，总体还行吧
好 板 很漂亮 衣服 合适 面膜 5.2 寸 荣耀 小七 姊妹 8.4 寸板 M3,很好的板，很漂亮的衣服，很合适的面膜。5.2寸的荣耀小七和他的姊妹8.4寸板M3。
满意 帮 老公 买,满意帮老公买的
国产 华为 质量 不错,国产华为质量还是不错的
包装 比较简单 产品 挺好用 以前 x1 两年 现在 换 x2,包装比较简单，不过产品还是挺好用，以前用的x1，用了两年，现在换x2
物美价廉 一分钱 一分货 老人 使用 体验 不错,物美价廉，一分钱一分货，老人使用体验不错
快递 很快 好,快递很快，也很好
快 一个月 质量 不错 运行 流畅,用了快一个月了 质量不错 运行也很流畅
华为 确实 很棒 第一次 买 华为 品牌 感觉 非常 满意,华为确实很棒 第一次买华为的品牌 我感觉非常满意！
商品 包装 精美 外包装 不 有点 破损 平板 还好 指纹 建有 一点 不平 左边 低 一点 右边 高 一点 安卓七用 流畅 更新 后 21 g 内存,商品包装精美，但是外包装不咋的，有点破损，不过平板还好，只是指纹建有一点不平，左边低一点，右边高一点，安卓七用着还是流畅更新后就只有21个g内存了。
凌晨 4 点 下单 下午 16 点 收到 华为 平板 M3 京东 物流 快捷 给力 快递 师傅 服务 热情 规范 包装 好 正品 屏幕 绚丽 系统 运转 流畅 一次 满意 网上 购物,我凌晨4点下单，下午16点就收到华为平板M3 了。京东物流快捷给力，快递师傅服务热情规范，包装很好，是正品，屏幕绚丽，系统运转流畅，一次满意的网上购物。
平板 回来 几天 试用 现在 评价 总得 还 不 明白 不 贴 上 屏保 贴起 好多 气泡 不送 平板 套 花钱买 续航 能力 有点 不符 看 图片 不 清晰 现象,平板回来几天了，一直在试用，现在来评价:总得还可以，但我就不明白为什么不自己贴上屏保！自己贴起了好多气泡！不送平板套，自己花钱买的！续航能力也有点不符，看图片有不清晰的现象！
还行 音质 不错 good 还 行 大号 手机,"还行吧，可以，音质还是不错的可以，good,还行，大号手机啊"
开机 后 升级 系统 配置 挺不错 支持 国货,开机后一直升级系统。。。。。。配置挺不错的，支持国货。
下午 感觉 不错 平板 手机 好用 没话说 下次 还会 支持 京东,用了一个下午感觉很不错，这个平板手机好用没话说，下次还会支持京东…
宝贝 已经 收到 质量 非常 好,宝贝已经收到，质量非常的好！
清晰度 比较 高 尺寸 比较满意 总体 性价比 不错,清晰度比较高，尺寸也比较满意。嗯，总体性价比还是不错。
昨天晚上 十点 多下 单 今天上午 十一点左右 到手 速度 不错 送 一年 乐视 会员卡 适合 看剧 达 人 上午 试验 下 音质 还 指纹锁 感应 总是 显示 指纹 不 匹配 可能 手指 磨皮 后面 打电话 客服 中心 客服 耐心 帮 解决问题 按下 声音 关机 键 恢复 出厂 设置 终于 进入 主 界面 拉 果断 指纹锁 放弃,昨天晚上十点多下的单今天上午十一点左右就到手，这速度不错。送了一年乐视会员卡，适合我这个看剧达人。上午试验了下音质还可以，就是指纹锁感应总是显示指纹不匹配，可能是我手指磨皮，后面打电话给客服中心，客服很耐心的帮我解决问题，同时按下声音+和关机键 恢复出厂设置，终于进入主界面拉，果断把指纹锁放弃。
公司 采购 礼品 快快 块 京东 服务 值得 信赖 质量 好 京东 快快 快 次日 达,公司采购礼品快快块。。。。京东服务值得信赖。。。质量很好。。。京东快快快次日达
买 来看 视频 挺不错 价格 实惠,买来看视频的，挺不错的，价格也实惠
第一次 京东 下单 服务 超级 棒 昨晚 下单 今天 物流 更新 超级 快 每一 步骤 仅 显示 快递 哥 行踪 都 GpS 这点 京东 超级 可爱,第一次在京东下单，服务超级棒！昨晚下单，今天就到！而且物流更新超级快，每一步骤仅有显示，连快递哥的行踪都有GpS！这点，京东超级可爱！
好好 好好 好好 好好 好好 好好看 好好 好看 好好 好好 好好 好好 好好 好好,好好好好好好好好好好好好看 好好好看好好好好好好好好好好好好用
买 小孩 学习 速度 很快 内存 还 扩展 外出 携带 方便,买给小孩学习用，速度很快，内存还可以扩展，外出携带也方便！
好好 好好 好好 好好 好好 好好 好好 好,好好好好好好好好好好好好好好好
试用 几天 才 评价 还好 声音 吵 杂音 清晰度 不够,试用几天才来评价。其它还好，声音有吵杂音，清晰度不够。
非常 好用 电池 久,非常好用，电池也久
手机 好 真品 老婆 喜欢,手机很好是真品，老婆很喜欢
第一次 华为 满意,第一次用华为，很满意。
机子 好用 反应 快 像素 略差 接受,机子好用，反应快，像素略差，可以接受。
大小 合适 款式 漂亮 早上 下单 下午 送到 数度 很快 妈妈 看电视 摄像头 不是 高清 比较 模糊,大小合适。款式漂亮。早上下单下午就送到，数度很快。给妈妈看电视用的，摄像头不是高清的。比较模糊。
玩 不错 不愧 华为,可以，玩了，很不错，不愧华为。
东西 不错 发货 很快 期待 继续 合作,东西不错，发货很快，期待继续合作！！！！！！
还 挺 好,还可以挺好的
买 老婆 看电视 不 下载 王者 荣耀,买给我老婆看电视的，怎么不可以下载王者荣耀
一部 大 手机 当然 主要 平板 质量 不错 顺手 值得 购买 物美价廉,一部大手机，当然主要是当平板用，质量不错，用着顺手，值得购买，物美价廉
不错 价格 小贵 帮 朋友 买,不错，价格小贵，帮朋友买的
华为 平板 M3 最新 版本 emui5.0 华为 平板 m3 青春 版 都 emui5.1 有点 看不懂 旗舰 平板 都 受 冷落,华为平板M3最新版本emui5.0华为平板m3青春版都是emui5.1。有点看不懂了，旗舰平板都受冷落，，，，
东西 很快 收到 试用 一下 流畅 黑边 范围 接受 还 应该 配个 保护套 网上 淘,东西很快收到了，试用了一下，还是很流畅的，黑边的范围也可以接受，就是还应该配个保护套，自己网上淘一个吧。
贴膜 不怎么样 平板 还 行 价格 还好,贴膜不怎么样但是平板还行……这个价格还好
非常 非常 好 速度 很快 画面 清晰 推荐 购买,非常非常好，速度很快。画面很清晰，推荐购买
速度 很快 屏幕 清楚 黑边 有点 大,速度很快，屏幕清楚！就是黑边有点大
屏幕 大 质量 好 不错,屏幕大 质量好 用着不错
宝贝 拿到 谢谢 昨天下午 才 下单 今天 喜欢 款式 谢谢 拿到 手 试 一下 网速 网速 超快,宝贝拿到了谢谢，昨天下午才下单今天就到了，是我喜欢的款式谢谢，一拿到手就试了一下网速，网速超快。
还 挺 喜欢 屏幕 分辨率 不是 高,用着还可以，挺喜欢的，就是屏幕分辨率不是很高
女儿 买 做作业 音响 挺 好 分辨率 赞,给女儿买的做作业的，音响挺好的。分辨率赞一个。
国货 精品 性价比 高 试用 中 感觉 满意,国货精品，性价比高，试用中感觉满意！
还好 感觉 起来 还 不错,还好吧！感觉用起来还不错
段时间 全家 都 华为 粉丝,用了段时间，全家都是华为的粉丝
超出 预期 水果 差 音质 画质 无可挑剔 棒棒 哒,超出我的预期，不比什么水果差，音质画质无可挑剔，棒棒哒
京东 快递 速度 真是 快 晚上 9 点多 拍 第二天 上午 到手 后 感觉 青春 版 好多 儿子 手里 玩游戏 正好,京东快递速度真是快，晚上9点多拍的，第二天上午就到了，到手后感觉比青春版好多了，儿子拿在手里玩游戏正好。
内存 占用 太 剩下 几个 G 内存 算是 比较满意,内存占用太多，剩下了几个G的内存，算是比较满意吧。
好 强大 好 强大 不错 送 外壳,很好很强大很好很强大，这个不错，送外壳
手机 华为 不错 分辨率 没有 苹果 好 要求 有点 高 买来 孩子 非常 好,手机一直用华为的，不错，分辨率没有苹果的好（要求有点高?）买来给孩子用的，非常好
东西 不错 下次 还会 买 相信 京东 相信 东哥,东西不错下次还会买哟！相信京东，相信东哥
价格 值得 考虑 购买,这样的价格值得考虑购买
东西 不错 价格 很酷 喜欢 会 推荐 购买,东西不错，这个价格很酷，喜欢，会推荐购买
总体 上 来说 华为 平板 不错 支持 国产,总体上来说，此华为平板不错，支持国产！
京东 快 东西 不错 保护套 更好,京东就是快东西也不错，就是在给个保护套就更好了！
货已 收到 办公 手感 还好 快递 速度快 性能 待用 一段时间 再 追加 评论,货已收到，办公用，手感还好，快递速度快，性能待用一段时间再来追加评论。
一段时间 感觉 还 指纹识别 不太 灵敏 每次 都 几次,用了一段时间，感觉还可以，不过指纹识别不太灵敏啊，每次都得按几次
好看 速度快 做工 不错,很好看，速度快，做工不错
闺女 小米 慢 买 不错 速度快 手感,闺女用的小米慢了，买了这个，还是不错的，速度快，手感也好
不错 送给 妈妈 妈妈 喜欢,不错哦，送给妈妈，妈妈喜欢
推荐 朋友 买 现在 国货 确实 不 不论是 做工 水平 质量 性能 都 非常 完美 一点 苹果 差 加油 国货,推荐朋友买的，现在的国货确实不一样了，不论是做工水平，质量性能，都非常完美，一点不比苹果差，加油，国货！
挺 好 屏幕 清晰 运行 流畅 京东 618 价蛮 不错 值得 入手,挺好的，屏幕清晰，运行也流畅，京东618这个价蛮不错了，值得入手的
声音 音质 好 色彩 好 运行 流畅 电池电量 下降 太快,声音音质好，色彩好，运行流畅，但就是电池电量下降太快了
不错 平板 电脑 外观 漂亮 运行 速度快 屏幕 细腻 满意,很不错的平板电脑，外观漂亮、运行速度快，屏幕细腻，很满意。
平板 不错 电量 父母 买 满意 不错,平板很不错，电量也可以，给父母买的，满意不错！
发货 超级 速度 第二天 收到 试 几天 上网 很快 质量 绝对 赞 买 wifi 版 好看 外观 屏 很大 音效 好 不错,发货超级速度，第二天就收到了，试了几天，上网很快，质量绝对赞.买了个wifi版的，好看的外观，屏很大，音效好，不错?。
平板 帮 同事 小孩 买 东西 没 看见 听 同事 反映 平板 还 行,平板帮一个同事的小孩买，东西我没看见过，但听同事反映平板还行。
好 喜欢 华为 特给力 老 用户 不多 说 还会 再 买 华为,好喜欢，华为特给力，老用户不多说，还会再买华为
不错,不错。。。。。。。。。。。。。。
不错 平板 只 看 电影 小说 不 玩游戏 配置 绰绰有余,很不错的平板，只看电影和小说，不玩游戏，这个配置绰绰有余了。
不错 商品,不错的商品。
特别 特别 好 快递 不错,特别特别好 快递不错
